681301272 ;        9775;   ;transacc  ;681301272                               ;13072015      ;144400;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681301272 ;        9775;   ;transacc  ;681301272                               ;13072015      ;144400;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9775;   ;resultado ;20150713024331                          ;13072015      ;144400;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        9775;   ;resultado ;20150713024331                          ;13072015      ;144400;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
681301272 ;        9775;   ;resultado ;datoscom                                ;13072015      ;144400;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        9775;   ;resultado ;20150713024331                          ;13072015      ;144400;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        9877;   ;Filtro    ;Inicio                                  ;13072015      ;145635;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9877;   ;Filtro    ;tbk_param.txt                           ;13072015      ;145635;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;        9877;   ;Filtro    ;Terminado                               ;13072015      ;145635;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
681379571 ;        9877;   ;pago      ;inicio                                  ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
681379571 ;        9877;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;145635;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9878;   ;resultado ;Desencriptando                          ;13072015      ;145710;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9878;   ;resultado ;Validacion                              ;13072015      ;145710;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9878;   ;resultado ;20150713025631                          ;13072015      ;145710;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9878;   ;resultado ;20150713025631                          ;13072015      ;145710;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681379571 ;        9878;   ;transacc  ;681379571                               ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681379571 ;        9878;   ;resultado ;logro abrir_conexion                    ;13072015      ;145710;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
681379571 ;        9878;   ;transacc  ;681379571                               ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681379571 ;        9878;   ;transacc  ;681379571                               ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9880;   ;check_mac ;                                        ;13072015      ;145710;EMPTY          ;OK ;                    ;Todo OK                                                                 
681379571 ;        9878;   ;transacc  ;681379571                               ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
681379571 ;        9878;   ;resultado ;20150713025631                          ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
681379571 ;        9878;   ;resultado ;20150713025631                          ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
681379571 ;        9878;   ;resultado ;20150713025631                          ;13072015      ;145710;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
